Dataset,c,k,m,M_NUM,PIVOT,Q_NUM,R_MIN,RATIO,RECALL,AVG_TIME,COST,DATE
audio,1.5,50,15,16,5,100,3,1.00127,0.6854,3.75451,0.0461695,834.651,
audio,1.5,50,15,16,5,100,3,1.00134,0.9428,6.94488,0.0490513,834.866,
audio,1.5,50,15,16,5,100,3,1.00212,0.9366,3.57825,0.0471317,834.875,
audio,1.5,50,15,16,5,100,3,1.0025,0.9292,3.59336,0.0454159,834.889,
audio,1.5,50,15,16,5,100,3,1.00093,0.949,3.52016,0.0411941,834.892,
audio,1.5,50,15,16,5,100,3,1.00166,0.9396,3.55029,0.0421168,834.901,
audio,1.5,50,15,16,5,100,1,1.00064,0.9536,3.94277,0.064464,834.923,
audio,1.5,50,15,16,5,100,1,1.00065,0.9528,3.93232,0.0522436,834.924,
imageNet,1.5,50,15,16,5,100,1,1.19376,0.3458,185.528,0.0349611,834.925,
notre,1.5,50,15,16,5,100,1,1.00117,0.6878,52.7454,0.0776273,834.925,
ukbench,1.5,50,15,16,5,100,1,1.00069,0.6914,178.813,0.0703925,834.926,
cifar,1.5,50,15,16,5,100,1,1.00332,0.6482,8.80136,0.169447,834.926,
enron,1.5,50,15,16,5,100,1,1.0008,0.6864,25.0672,0.127629,834.926,
millionSong,1.5,50,15,16,5,100,1,1.00101,0.6862,111.122,0.0318121,834.927,
MNIST,1.5,50,15,16,5,100,1,1.00126,0.6924,10.8843,0.0925435,834.928,
nuswide,1.5,50,15,16,5,100,1,1.00232,0.5976,71.8622,0.174205,834.928,
sun,1.5,50,15,16,5,100,1,1.0016,0.6746,14.9073,0.152891,834.928,
deep,1.5,50,15,16,5,100,1,1.00107,0.6734,222.095,0.112593,834.929,
trevi,1.5,50,15,16,5,100,1,1.00091,0.6932,39.5239,0.0832136,834.93,
audio,1.75,50,15,16,5,100,1,1.00245,0.9306,3.00719,0.0309017,834.93,
imageNet,1.75,50,15,16,5,100,1,1.19751,0.5936,167.251,0.0299371,834.93,
notre,1.75,50,15,16,5,100,1,1.00102,0.9452,49.11,0.069037,834.931,
ukbench,1.75,50,15,16,5,100,1,1.002,0.931,161.984,0.0494446,834.931,
cifar,1.75,50,15,16,5,100,1,1.0028,0.9182,7.3444,0.131242,834.931,
enron,1.75,50,15,16,5,100,1,1.00168,0.9302,17.0175,0.0876244,834.931,
millionSong,1.75,50,15,16,5,100,1,1.0016,0.9324,121.989,0.0346244,834.931,
MNIST,1.75,50,15,16,5,100,1,1.00256,0.9276,9.18965,0.071111,834.931,
nuswide,1.75,50,15,16,5,100,1,1.00248,0.853,68.6589,0.160186,834.931,
sun,1.75,50,15,16,5,100,1,1.00243,0.911,12.1613,0.114497,834.931,
deep,1.75,50,15,16,5,100,1,1.00243,0.9082,201.551,0.0878475,834.932,
trevi,1.75,50,15,16,5,100,1,1.00133,0.9376,48.5844,0.098577,834.932,
audio,1.25,50,15,16,5,100,1,1.00027,0.9588,5.02634,0.0969768,834.932,
imageNet,1.25,50,15,16,5,100,1,1.17051,0.608,188.005,0.0493954,834.932,
notre,1.25,50,15,16,5,100,1,1.00075,0.9518,56.9495,0.0944543,834.932,
ukbench,1.25,50,15,16,5,100,1,1.00024,0.9612,183.532,0.0737499,834.932,
cifar,1.25,50,15,16,5,100,1,1.00093,0.9506,8.5056,0.161426,834.932,
enron,1.25,50,15,16,5,100,1,1.00033,0.9574,22.6502,0.119928,834.932,
millionSong,1.25,50,15,16,5,100,1,1.00065,0.9546,127.364,0.0394964,834.933,
MNIST,1.25,50,15,16,5,100,1,1.00084,0.9538,11.2751,0.101374,834.933,
nuswide,1.25,50,15,16,5,100,1,1.00202,0.87,72.6228,0.178521,834.933,
sun,1.25,50,15,16,5,100,1,1.00078,0.9416,19.8869,0.162562,834.933,
deep,1.25,50,15,16,5,100,1,1.00094,0.94,223.604,0.120121,834.933,
trevi,1.25,50,15,16,5,100,1,1.00043,0.9536,59.1087,0.126319,834.933,
audio,1.5,50,15,16,5,100,20,1.0023,0.9276,3.55586,0.0426293,834.933,
imageNet,1.5,50,15,16,5,100,20,2.08893,0.2776,0.05677,1.13529e-05,834.934,
notre,1.5,50,15,16,5,100,20,1.00052,0.9554,51.567,0.0666603,834.934,
ukbench,1.5,50,15,16,5,100,20,1.00067,0.9534,193.308,0.0760584,834.934,
cifar,1.5,50,15,16,5,100,20,1.60538,0.2798,0.02898,0.0005272,834.934,
enron,1.5,50,15,16,5,100,20,1.00146,0.926,29.5973,0.130014,834.934,
millionSong,1.5,50,15,16,5,100,20,1.00067,0.9512,117.728,0.0418259,834.934,
MNIST,1.5,50,15,16,5,100,20,1.03521,0.8874,11.3292,0.101935,834.934,
nuswide,1.5,50,15,16,5,100,20,1.00242,0.849,69.3871,0.168773,834.934,
sun,1.5,50,15,16,5,100,20,1.00157,0.9316,12.6449,0.13208,834.934,
deep,1.5,50,15,16,5,100,20,1.77993,0.2778,0.05323,2.581e-05,834.934,
trevi,1.5,50,15,16,5,100,20,1.00032,0.9564,55.1275,0.117537,834.935,
audio,1.5,50,15,16,5,100,300,1.0016,0.9386,3.46969,0.0417948,834.935,
imageNet,1.5,50,15,16,5,100,300,2.23561,0.2776,0.06072,1.11991e-05,834.935,
notre,1.5,50,15,16,5,100,300,1.00045,0.9542,54.4426,0.0818616,834.935,
ukbench,1.5,50,15,16,5,100,300,1.03144,0.9106,176.26,0.0658258,834.935,
cifar,1.5,50,15,16,5,100,300,1.62163,0.2786,0.02486,0.000485,834.935,
enron,1.5,50,15,16,5,100,300,1.05595,0.801,17.0893,0.0937799,834.935,
millionSong,1.5,50,15,16,5,100,300,2.32855,0.2822,0.19636,8.6186e-05,834.935,
MNIST,1.5,50,15,16,5,100,300,2.11878,0.2792,0.03374,0.000368116,834.935,
nuswide,1.5,50,15,16,5,100,300,1.36324,0.2884,1.04957,0.00421939,834.935,
sun,1.5,50,15,16,5,100,300,1.00091,0.9436,14.8208,0.154221,834.935,
deep,1.5,50,15,16,5,100,300,1.76835,0.2782,0.04631,2.611e-05,834.935,
trevi,1.5,50,15,16,5,100,300,1.00045,0.953,58.2793,0.126452,834.936,
audio,1.5,50,15,16,5,100,1,1.00095,0.942,3.6588,0.0420005,834.936,
imageNet,1.5,50,15,16,5,100,1,1.20208,0.5788,159.02,0.0329965,834.936,
notre,1.5,50,15,16,5,100,1,1.00263,0.9236,47.5241,0.046767,834.936,
ukbench,1.5,50,15,16,5,100,1,1.00131,0.9394,178.283,0.0490029,834.936,
cifar,1.5,50,15,16,5,100,1,1.00398,0.8984,5.61989,0.0831682,834.936,
enron,1.5,50,15,16,5,100,1,1.00157,0.9328,15.1929,0.0707037,834.936,
millionSong,1.5,50,15,16,5,100,1,1.00079,0.9476,204.804,0.0373773,834.937,
MNIST,1.5,50,15,16,5,100,1,1.00286,0.9268,8.17904,0.0557748,834.937,
nuswide,1.5,50,15,16,5,100,1,1.00468,0.771,54.4016,0.0895398,834.937,
sun,1.5,50,15,16,5,100,1,1.00294,0.8928,10.6066,0.0909185,834.937,
deep,1.5,50,15,16,5,100,1,1.00172,0.917,192.062,0.067866,834.937,
trevi,1.5,50,15,16,5,100,1,1.0013,0.9378,34.9291,0.0703889,834.937,
audio,1.5,50,15,16,5,100,1,1.00089,0.9494,3.95398,0.0634079,834.937,
imageNet,1.5,50,15,16,5,100,1,1.1997,0.6008,217.953,0.055844,834.938,
notre,1.5,50,15,16,5,100,1,1.00124,0.9442,52.0942,0.0681599,834.938,
ukbench,1.5,50,15,16,5,100,1,1.00091,0.9474,179.835,0.0649513,834.938,
cifar,1.5,50,15,16,5,100,1,1.00108,0.948,9.901,0.198518,834.938,
enron,1.5,50,15,16,5,100,1,1.00067,0.9504,25.1151,0.132245,834.938,
millionSong,1.5,50,15,16,5,100,1,1.0011,0.9398,134.154,0.0442437,834.938,
MNIST,1.5,50,15,16,5,100,1,1.00165,0.9434,10.8791,0.0915175,834.938,
nuswide,1.5,50,15,16,5,100,1,1.00087,0.92,110.266,0.332522,834.939,
sun,1.5,50,15,16,5,100,1,1.0015,0.9288,15.3524,0.128599,834.939,
deep,1.5,50,15,16,5,100,1,1.00121,0.9354,237.671,0.143559,834.939,
trevi,1.5,50,15,16,5,100,1,1.00054,0.9542,53.7698,0.106488,834.939,
uqv,1.5,50,15,16,5,100,1,2.33558,0.0006,0.10752,0.00010764,848.884,
astro1m,1.5,50,15,16,5,100,1,1.00711,0.6328,281.941,0.194886,848.885,
seismic1m,1.5,50,15,16,5,100,1,1.0057,0.6456,254.801,0.160644,848.885,
sald1m,1.5,50,15,16,5,100,1,1.00131,0.9456,145.874,0.0562615,848.886,
bigann,1.5,50,15,16,5,100,1,1.00112,0.965,182.266,0.0819027,848.886,
space1V,1.5,50,15,16,5,100,1,1.00428,0.835,242.976,0.195976,848.887,
text-to-image,1.5,50,15,16,5,100,1,1.00048,0.9774,238.627,0.126916,848.887,
gist,1.5,50,15,16,5,100,1,1.00082,0.9536,317.227,0.131012,848.898,
sift,1.5,50,15,16,5,100,1,1.00093,0.9714,156.526,0.0675151,848.92,
uqv,1.75,50,15,16,5,100,1,2.04153,0.0016,0.09556,0.00010725,848.92,
astro1m,1.75,50,15,16,5,100,1,1.00739,0.6406,282.281,0.195118,848.921,
seismic1m,1.75,50,15,16,5,100,1,1.00489,0.723,240.167,0.153825,848.921,
sald1m,1.75,50,15,16,5,100,1,1.00155,0.9518,146.06,0.0609425,848.921,
bigann,1.75,50,15,16,5,100,1,1.00053,0.9806,192.227,0.0847656,848.921,
space1V,1.75,50,15,16,5,100,1,1.00461,0.8244,238.722,0.174726,848.922,
text-to-image,1.75,50,15,16,5,100,1,1.00172,0.9532,228.143,0.119999,848.922,
gist,1.75,50,15,16,5,100,1,1.00145,0.93,321.386,0.132205,848.923,
uqv,1.25,50,15,16,5,100,1,1.84825,0.0014,0.1049,0.00010613,848.923,
astro1m,1.25,50,15,16,5,100,1,1.00722,0.6498,289.239,0.200003,848.923,
seismic1m,1.25,50,15,16,5,100,1,1.00766,0.603,265.188,0.164909,848.924,
sald1m,1.25,50,15,16,5,100,1,1.00023,0.9856,157.542,0.0759269,848.924,
bigann,1.25,50,15,16,5,100,1,1.00017,0.9926,200.573,0.10685,848.924,
space1V,1.25,50,15,16,5,100,1,1.00502,0.807,250.863,0.197404,848.924,
text-to-image,1.25,50,15,16,5,100,1,1.00128,0.969,248.5,0.152974,848.925,
gist,1.25,50,15,16,5,100,1,1.00083,0.949,367.038,0.159454,848.925,
uqv,1.5,50,15,16,5,100,20,2.00725,0.0006,0.13032,0.00010494,848.926,
astro1m,1.5,50,15,16,5,100,20,1.00745,0.6318,285.23,0.198701,848.926,
seismic1m,1.5,50,15,16,5,100,20,1.0046,0.7266,251.965,0.159514,848.926,
sald1m,1.5,50,15,16,5,100,20,1.01548,0.9178,142.523,0.0609822,848.926,
bigann,1.5,50,15,16,5,100,20,1.00088,0.9688,280.301,0.0864382,848.927,
space1V,1.5,50,15,16,5,100,20,1.00447,0.8202,246.155,0.191338,848.927,
text-to-image,1.5,50,15,16,5,100,20,1.74223,0.0004,0.13372,0.00010623,848.927,
gist,1.5,50,15,16,5,100,20,1.47769,0.0002,0.19234,0.00010705,848.927,
uqv,1.5,50,15,16,5,100,300,1.86383,0.0018,0.10687,0.0001068,848.928,
astro1m,1.5,50,15,16,5,100,300,1.21869,0.0004,0.11031,0.00010691,848.928,
seismic1m,1.5,50,15,16,5,100,300,1.31732,0.0008,0.10661,0.00010352,848.928,
sald1m,1.5,50,15,16,5,100,300,2.12523,0.0008,0.13877,0.00010557,848.928,
bigann,1.5,50,15,16,5,100,300,1.00061,0.9766,176.886,0.0653428,848.928,
space1V,1.5,50,15,16,5,100,300,1.00611,0.7838,253.397,0.196067,848.928,
text-to-image,1.5,50,15,16,5,100,300,1.69925,0.0006,0.16284,0.00010568,848.929,
gist,1.5,50,15,16,5,100,300,1.46428,0.0002,0.2171,0.00010597,848.929,
uqv,1.5,50,15,16,5,100,1,2.18497,0.003,0.11399,0.00010649,848.929,
astro1m,1.5,50,15,16,5,100,1,1.01388,0.4468,224.902,0.0995119,848.929,
seismic1m,1.5,50,15,16,5,100,1,1.00986,0.5402,208.481,0.0849551,848.929,
sald1m,1.5,50,15,16,5,100,1,1.0013,0.948,173.34,0.0686613,848.93,
bigann,1.5,50,15,16,5,100,1,1.00127,0.9596,182.213,0.0654317,848.93,
space1V,1.5,50,15,16,5,100,1,1.01175,0.65,203.438,0.0996276,848.93,
text-to-image,1.5,50,15,16,5,100,1,1.00297,0.924,211.404,0.0809628,848.931,
gist,1.5,50,15,16,5,100,1,1.0029,0.8574,274.243,0.092274,848.931,
uqv,1.5,50,15,16,5,100,1,1.90776,0.0016,0.10573,0.0001062,848.931,
astro1m,1.5,50,15,16,5,100,1,1.00299,0.8056,405.455,0.386366,848.932,
seismic1m,1.5,50,15,16,5,100,1,1.00294,0.7842,342.348,0.300085,848.932,
sald1m,1.5,50,15,16,5,100,1,1.00047,0.9802,165.275,0.0813132,848.932,
bigann,1.5,50,15,16,5,100,1,1.00077,0.9704,182.279,0.0768366,848.933,
space1V,1.5,50,15,16,5,100,1,1.00116,0.942,400.234,0.343155,848.933,
text-to-image,1.5,50,15,16,5,100,1,1.00053,0.9792,258.711,0.18024,848.934,
gist,1.5,50,15,16,5,100,1,1.00049,0.9696,433.035,0.216382,848.934,
sun,1.5,50,15,16,5,100,1,1.0006,0.948,14.596,0.147088,854.86,
glove,1.5,50,15,16,5,100,1,1.00181,0.6716,272.418,0.154908,854.861,
trevi,1.5,50,15,16,5,100,1,1.00113,0.9366,42.8204,0.0903149,854.861,
lastfm,1.5,50,15,16,5,100,1,1.00014,0.9296,20.698,0.184202,854.861,
movielens,1.5,50,15,16,5,100,1,1.00032,0.989,1.00403,0.171035,854.861,
netflix,1.5,50,15,16,5,100,1,1.00026,0.9898,1.41998,0.0892375,854.861,
nytimes,1.5,50,15,16,5,100,1,1.00034,0.3006,72.7314,0.194693,854.861,
tiny5m,1.5,50,15,16,5,100,1,1.00071,0.955,1903.88,0.142941,854.887,
word2vec,1.5,50,15,16,5,100,1,1.0049,0.7912,273.728,0.185103,854.891,
yahoomusic,1.5,50,15,16,5,100,1,1.00154,0.9462,17.9248,0.0833184,854.891,
sun,1.25,50,15,16,5,100,1,1.00221,0.918,16.9696,0.183877,854.891,
trevi,1.25,50,15,16,5,100,1,1.00046,0.9532,42.2753,0.0894659,854.891,
tiny5m,1.25,50,15,16,5,100,1,1.00061,0.9602,1425.3,0.156538,854.893,
word2vec,1.25,50,15,16,5,100,1,1.00365,0.8242,283.211,0.192139,854.894,
yahoomusic,1.25,50,15,16,5,100,1,1.00031,0.9876,27.5127,0.141672,854.894,
sun,1.5,50,15,16,5,100,20,1.00074,0.9474,17.8073,0.144141,854.894,
trevi,1.5,50,15,16,5,100,20,1.00129,0.9354,50.277,0.105171,854.894,
tiny5m,1.5,50,15,16,5,100,20,1.57871,0,0.2484,2.1202e-05,854.894,
word2vec,1.5,50,15,16,5,100,20,1.08807,0.351,96.2231,0.0981955,854.895,
yahoomusic,1.5,50,15,16,5,100,20,1.58993,0.0056,0.10149,0.000777045,854.895,
sun,1.5,50,15,16,5,100,300,1.0012,0.9344,13.7599,0.133428,854.895,
trevi,1.5,50,15,16,5,100,300,1.00135,0.9346,44.0454,0.093313,854.895,
tiny5m,1.5,50,15,16,5,100,300,1.54271,0,0.28068,2.128e-05,854.895,
word2vec,1.5,50,15,16,5,100,300,1.44828,0.0002,0.11903,0.0001056,854.896,
yahoomusic,1.5,50,15,16,5,100,300,1.59985,0.0064,0.11835,0.000775143,854.896,
sun,1.5,50,15,16,5,100,1,1.00495,0.857,11.0587,0.090494,854.896,
trevi,1.5,50,15,16,5,100,1,1.00231,0.919,30.2298,0.0577859,854.896,
tiny5m,1.5,50,15,16,5,100,1,1.00195,0.8906,1105.74,0.08264,854.898,
word2vec,1.5,50,15,16,5,100,1,1.00753,0.6776,217.118,0.0951135,854.898,
yahoomusic,1.5,50,15,16,5,100,1,1.00166,0.9426,14.0733,0.0528508,854.898,
sun,1.5,50,15,16,5,100,1,1.00225,0.9184,14.2996,0.145965,854.898,
trevi,1.5,50,15,16,5,100,1,1.00097,0.9424,50.672,0.110517,854.898,
tiny5m,1.5,50,15,16,5,100,1,1.00059,0.9636,1630.69,0.203692,854.901,
word2vec,1.5,50,15,16,5,100,1,1.00172,0.9008,382.269,0.349025,854.901,
yahoomusic,1.5,50,15,16,5,100,1,1.0002,0.9922,23.3554,0.154316,854.901,
sun,1.75,50,15,16,5,100,1,1.00236,0.9126,11.924,0.110788,854.938,
trevi,1.75,50,15,16,5,100,1,1.00221,0.9232,36.5067,0.0737934,854.938,
tiny5m,1.75,50,15,16,5,100,1,1.00092,0.9492,1207.86,0.12088,854.94,
word2vec,1.75,50,15,16,5,100,1,1.00546,0.772,268.257,0.172703,854.941,
yahoomusic,1.75,50,15,16,5,100,1,1.00093,0.969,19.0599,0.0973941,854.941,
glove,1.5,50,15,16,5,100,1,1.00134,0.9248,277.919,0.160739,854.941,
lastfm,1.5,50,15,16,5,100,1,1.00035,0.8638,20.296,0.182107,854.941,
movielens,1.5,50,15,16,5,100,1,1.00123,0.9728,0.89347,0.141773,854.941,
netflix,1.5,50,15,16,5,100,1,1.00044,0.9858,1.50764,0.103241,854.941,
nytimes,1.5,50,15,16,5,100,1,1.00496,0.3318,73.3368,0.191785,854.941,
glove,1.75,50,15,16,5,100,1,1.0019,0.923,268.583,0.143644,854.942,
lastfm,1.75,50,15,16,5,100,1,1.00028,0.9022,21.2457,0.184611,854.942,
movielens,1.75,50,15,16,5,100,1,1.00028,0.9914,0.88471,0.131867,854.942,
netflix,1.75,50,15,16,5,100,1,1.00122,0.9694,1.23944,0.0716753,854.942,
nytimes,1.75,50,15,16,5,100,1,1.00247,0.3462,72.5409,0.184692,854.942,
glove,1.25,50,15,16,5,100,1,1.00102,0.9382,284.435,0.171736,854.942,
lastfm,1.25,50,15,16,5,100,1,1.0001,0.9418,21.61,0.196029,854.942,
movielens,1.25,50,15,16,5,100,1,1.00009,0.9966,1.02722,0.172619,854.942,
netflix,1.25,50,15,16,5,100,1,1.00014,0.9936,1.58023,0.111337,854.942,
nytimes,1.25,50,15,16,5,100,1,1.00051,0.2936,73.0629,0.192312,854.942,
glove,1.5,50,15,16,5,100,20,1.00579,0.8928,253.488,0.159215,854.943,
lastfm,1.5,50,15,16,5,100,20,1.00091,0.861,19.0339,0.178095,854.943,
movielens,1.5,50,15,16,5,100,20,1.51572,0.0292,0.04088,0.0099054,854.943,
netflix,1.5,50,15,16,5,100,20,1.70087,0.0246,0.06726,0.00601069,854.943,
nytimes,1.5,50,15,16,5,100,20,1.45324,0.0006,0.09279,0.00036531,854.943,
glove,1.5,50,15,16,5,100,300,1.55748,0.2774,0.0368,2.22807e-05,854.943,
lastfm,1.5,50,15,16,5,100,300,1.00446,0.0418,0.08738,0.000360381,854.943,
movielens,1.5,50,15,16,5,100,300,1.57993,0.0188,0.03874,0.00997003,854.943,
netflix,1.5,50,15,16,5,100,300,1.72548,0.0206,0.06077,0.00597862,854.943,
nytimes,1.5,50,15,16,5,100,300,1.45598,0.0006,0.07818,0.000365345,854.943,
glove,1.5,50,15,16,5,100,1,1.00274,0.878,240.276,0.0896041,854.943,
lastfm,1.5,50,15,16,5,100,1,1.00005,0.9516,9.62407,0.0988611,854.943,
movielens,1.5,50,15,16,5,100,1,1.00172,0.9538,0.72845,0.0889651,854.943,
netflix,1.5,50,15,16,5,100,1,1.00097,0.976,1.32676,0.083897,854.943,
nytimes,1.5,50,15,16,5,100,1,1.01417,0.2874,56.4644,0.0997143,854.943,
glove,1.5,50,15,16,5,100,1,1.00121,0.9344,302.666,0.20821,854.944,
lastfm,1.5,50,15,16,5,100,1,1.00018,0.937,43.2457,0.376295,854.944,
movielens,1.5,50,15,16,5,100,1,1.00011,0.9964,1.0951,0.207263,854.944,
netflix,1.5,50,15,16,5,100,1,1.00012,0.9962,1.52957,0.106029,854.944,
nytimes,1.5,50,15,16,5,100,1,1.00015,0.299,95.2559,0.331936,854.944,
imageNet,1.25,50,15,16,5,100,1,1.1936,0.6064,234.492,0.0686667,856.897,
imageNet,1.25,50,20,16,5,100,1,1.1188,0.7414,269.183,0.045216,856.897,
imageNet,1.25,50,30,16,5,100,1,1.103,0.822,339.079,0.0273597,856.898,
imageNet,1.25,50,30,16,5,100,300,2.14506,0.2776,0.10328,1.09726e-05,856.898,
nytimes,1.75,50,15,16,5,100,1,1.00205,0.2212,71.1865,0.181143,856.931,
nytimes,1.75,50,20,16,5,100,1,1.00225,0.2116,77.0073,0.224039,856.931,
nytimes,1.75,50,30,16,5,100,1,1.00223,0.231,67.1657,0.121861,856.931,
nytimes,1.75,50,30,16,5,100,1,1.00226,0.2286,74.9881,0.171735,856.931,
seismic1m,1.5,50,30,16,5,100,1,1.00049,0.9212,336.952,0.280495,856.934,
crawl,1.5,50,15,16,5,100,1,1.00152,0.9342,546.36,0.162087,868.986,
crawl,1.5,50,15,16,5,100,1,1.00403,0.855,497.567,0.0910136,868.991,
crawl,1.5,50,15,16,5,100,20,1.00597,0.8756,537.681,0.167362,869.002,
crawl,1.5,50,15,16,5,100,300,1.49412,0,0.14347,5.33268e-05,869.002,
crawl,1.75,50,15,16,5,100,1,1.00261,0.91,540.57,0.151807,872.979,
crawl,1.25,50,15,16,5,100,1,1.00236,0.923,580.07,0.178731,872.98,
astro1m,1.5,50,15,16,5,100,1,1.01151,0.4984,222.085,0.0996863,873.096,
audio,1.5,50,15,16,5,100,1,1.00257,0.9288,3.80052,0.0452172,873.096,
bigann,1.5,50,15,16,5,100,1,1.00086,0.9664,155.274,0.0447809,873.096,
cifar,1.5,50,15,16,5,100,1,1.00234,0.9152,5.80326,0.0868882,873.096,
astro1m,1.5,50,15,16,5,100,1,1.01592,0.398,207.82,0.0740633,873.096,
audio,1.5,50,15,16,5,100,1,1.00165,0.9364,3.53328,0.0372014,873.096,
deep,1.5,50,15,16,5,100,1,1.00253,0.9016,202.034,0.0678561,873.096,
nuswide,1.5,50,15,16,5,100,1,1.00564,0.7548,59.7278,0.0941974,873.096,
enron,1.5,50,15,16,5,100,1,1.00174,0.9202,20.7211,0.0740019,873.096,
nuswide,1.5,50,15,16,5,100,1,1.00739,0.7088,55.8682,0.0679987,873.096,
nytimes,1.5,50,15,16,5,100,1,1.01369,0.259,64.8466,0.0999729,873.096,
astro1m,1.5,50,15,16,5,100,1,1.02044,0.3242,204.794,0.0497319,873.097,
audio,1.5,50,15,16,5,100,1,1.00271,0.925,3.5041,0.0306106,873.097,
nuswide,1.5,50,15,16,5,100,1,1.00853,0.6724,52.3596,0.0476105,873.097,
bigann,1.5,50,15,16,5,100,1,1.00178,0.944,176.102,0.0478961,873.097,
nytimes,1.5,50,15,16,5,100,1,1.01789,0.259,57.9195,0.0747291,873.097,
cifar,1.5,50,15,16,5,100,1,1.00412,0.8842,5.26832,0.0661518,873.097,
nytimes,1.5,50,15,16,5,100,1,1.04183,0.2242,53.9088,0.050007,873.097,
bigann,1.5,50,15,16,5,100,1,1.00239,0.9336,162.219,0.0321842,873.097,
cifar,1.5,50,15,16,5,100,1,1.01164,0.7808,4.80596,0.0467904,873.097,
gist,1.5,50,15,16,5,100,1,1.00344,0.8366,272.942,0.086987,873.097,
